 Rank  Player  Age  Elo  HardRaw  ClayRaw  GrassRaw  hElo  cElo  gElo  Peak Match  Peak Age  Peak Elo  
 177  Otto Virtanen  22.5  1583.7  1535.2  1308.1  1373.5  1559.4  1445.9  1478.6  2023 Lille CH F  21.7  1741.6  
 178  Mate Valkusz  25.4  1583.2  1470.0  1531.3  1336.6  1526.6  1557.3  1459.9  2022 Vilnius CH R32  24.1  1650.0  
 179  Ricardas Berankis  33.5  1582.3  1508.4  1499.7  1470.6  1545.3  1541.0  1526.4  2010 Vancouver CH SF  20.1  1809.0  
 180  Dennis Novak  30.3  1582.1  1519.4  1521.6  1622.3  1550.7  1551.8  1602.2  2019 Ortisei CH R32  26.2  1749.9  
 181  Beibit Zhukayev  23.2  1580.3  1517.7  1192.8  1406.4  1549.0  1386.5  1493.4  2023 Knoxville CH R32  23.0  1627.1  
 182  Nerman Fatic  29.2  1580.3  1387.7  1576.0  1500.0  1484.0  1578.1  1540.1  2023 Antalya CH R16  28.3  1621.6  
 183  Luca Nardi  20.4  1579.0  1509.8  1409.0  1370.6  1544.4  1494.0  1474.8  2023 Kobe CH QF  20.2  1661.5  
 184  Emilio Nava  22.1  1577.0  1469.0  1514.6  1500.0  1523.0  1545.8  1538.5  2023 Malaga CH QF  21.8  1621.3  
 185  Valentin Vacherot  25.1  1576.3  1558.3  1224.3  -  1567.3  1400.3  1488.2  2022 Nonthaburi 2 CH R16  23.7  1613.8  
 186  Patrick Kypson  24.2  1576.0  1497.6  1477.7  -  1536.8  1526.9  1488.0  2024 Noumea CH R32  24.1  1621.3  
 187  Jurij Rodionov  24.6  1572.5  1503.2  1496.8  1489.1  1537.9  1534.7  1530.8  2018 Astana CH QF  19.1  1692.0  
